# t,x,y,z,vx,vy,vz,ax,ay,az
1.220000,-21.664428,5.737665,1.002486,-0.367764,2.432355,0.000000,-0.598359,-0.090470,0.000000
1.230000,-21.668136,5.761984,1.002486,-0.376785,2.451211,0.000000,-0.607900,-0.093443,0.000000
1.240000,-21.671934,5.786491,1.002486,-0.385950,2.470029,0.000000,-0.617507,-0.096488,0.000000
1.250000,-21.675825,5.811186,1.002486,-0.395261,2.488809,0.000000,-0.627180,-0.099606,0.000000
1.260000,-21.679809,5.836069,1.002486,-0.404718,2.507549,0.000000,-0.636917,-0.102798,0.000000
1.270000,-21.683888,5.861140,1.002486,-0.414323,2.526249,0.000000,-0.646720,-0.106067,0.000000
1.280000,-21.688063,5.886397,1.002486,-0.424076,2.544908,0.000000,-0.656586,-0.109412,0.000000
1.290000,-21.692337,5.911841,1.002486,-0.433979,2.563525,0.000000,-0.666517,-0.112835,0.000000
1.300000,-21.696710,5.937470,1.002486,-0.444032,2.582099,0.000000,-0.676510,-0.116336,0.000000
1.310000,-21.701184,5.963285,1.002486,-0.454237,2.600629,0.000000,-0.686566,-0.119919,0.000000
1.320000,-21.705761,5.989285,1.002486,-0.464594,2.619113,0.000000,-0.696684,-0.123582,0.000000
1.330000,-21.710442,6.015470,1.002486,-0.475105,2.637551,0.000000,-0.706864,-0.127328,0.000000
1.340000,-21.715228,6.041840,1.002486,-0.485770,2.655942,0.000000,-0.717104,-0.131158,0.000000
1.350000,-21.720121,6.068392,1.002486,-0.496591,2.674284,0.000000,-0.727405,-0.135073,0.000000
1.360000,-21.725124,6.095128,1.002486,-0.507568,2.692578,0.000000,-0.737766,-0.139074,0.000000
1.370000,-21.730236,6.122047,1.002486,-0.518703,2.710820,0.000000,-0.748186,-0.143162,0.000000
1.380000,-21.735461,6.149148,1.002486,-0.529995,2.729012,0.000000,-0.758665,-0.147339,0.000000
1.390000,-21.740799,6.176431,1.002486,-0.541447,2.747150,0.000000,-0.769202,-0.151605,0.000000
1.400000,-21.746252,6.203895,1.002486,-0.553060,2.765235,0.000000,-0.779796,-0.155963,0.000000
1.410000,-21.751821,6.231539,1.002486,-0.564833,2.783265,0.000000,-0.790447,-0.160413,0.000000
1.420000,-21.757509,6.259364,1.002486,-0.576769,2.801239,0.000000,-0.801154,-0.164956,0.000000
1.430000,-21.763317,6.287368,1.002486,-0.588867,2.819155,0.000000,-0.811917,-0.169594,0.000000
1.440000,-21.769246,6.315551,1.002486,-0.601130,2.837013,0.000000,-0.822734,-0.174328,0.000000
1.450000,-21.775298,6.343912,1.002486,-0.613557,2.854811,0.000000,-0.833605,-0.179159,0.000000
1.460000,-21.781476,6.372452,1.002486,-0.626150,2.872549,0.000000,-0.844529,-0.184088,0.000000
1.470000,-21.787779,6.401168,1.002486,-0.638909,2.890224,0.000000,-0.855506,-0.189117,0.000000
1.480000,-21.794211,6.430061,1.002486,-0.651836,2.907836,0.000000,-0.866535,-0.194247,0.000000
1.490000,-21.800773,6.459129,1.002486,-0.664932,2.925383,0.000000,-0.877615,-0.199480,0.000000
1.500000,-21.807466,6.488373,1.002486,-0.678196,2.942864,0.000000,-0.888745,-0.204815,0.000000
1.510000,-21.814292,6.517791,1.002486,-0.691631,2.960278,0.000000,-0.899925,-0.210256,0.000000
1.520000,-21.821254,6.547384,1.002486,-0.705236,2.977624,0.000000,-0.911153,-0.215802,0.000000
1.530000,-21.828352,6.577149,1.002486,-0.719013,2.994899,0.000000,-0.922429,-0.221456,0.000000
1.540000,-21.835588,6.607087,1.002486,-0.732963,3.012103,0.000000,-0.933752,-0.227219,0.000000
1.550000,-21.842964,6.637196,1.002486,-0.747086,3.029235,0.000000,-0.945121,-0.233091,0.000000
1.560000,-21.850482,6.667477,1.002486,-0.761383,3.046292,0.000000,-0.956536,-0.239074,0.000000
1.570000,-21.858144,6.697928,1.002486,-0.775855,3.063274,0.000000,-0.967995,-0.245170,0.000000
1.580000,-21.865951,6.728548,1.002486,-0.790503,3.080179,0.000000,-0.979497,-0.251380,0.000000
1.590000,-21.873905,6.759338,1.002486,-0.805327,3.097006,0.000000,-0.991042,-0.257705,0.000000
1.600000,-21.882008,6.790295,1.002486,-0.820329,3.113753,0.000000,-1.002629,-0.264146,0.000000
1.610000,-21.890261,6.821419,1.002486,-0.835508,3.130419,0.000000,-1.014256,-0.270705,0.000000
1.620000,-21.898667,6.852710,1.002486,-0.850866,3.147003,0.000000,-1.025923,-0.277382,0.000000
1.630000,-21.907227,6.884166,1.002486,-0.866404,3.163502,0.000000,-1.037629,-0.284181,0.000000
1.640000,-21.915943,6.915786,1.002486,-0.882122,3.179915,0.000000,-1.049372,-0.291100,0.000000
1.650000,-21.924816,6.947571,1.002486,-0.898021,3.196241,0.000000,-1.061152,-0.298143,0.000000
1.660000,-21.933850,6.979518,1.002486,-0.914101,3.212479,0.000000,-1.072968,-0.305310,0.000000
1.670000,-21.943044,7.011628,1.002486,-0.930363,3.228626,0.000000,-1.084818,-0.312602,0.000000
1.680000,-21.952402,7.043898,1.002486,-0.946808,3.244681,0.000000,-1.096702,-0.320021,0.000000
1.690000,-21.961925,7.076329,1.002486,-0.963437,3.260642,0.000000,-1.108618,-0.327569,0.000000
1.700000,-21.971615,7.108919,1.002486,-0.980250,3.276509,0.000000,-1.120566,-0.335246,0.000000
